category,company,description,experience_level,job_type,location,posted_date,salary,title,url
N/A,IQera,"Credit Controller BtoB Port Louis Negotiable Permanent Added 26/02/2026 Closing 28/03/2026 Service Recrutement Apply Now Manage autonomously an assigned client’s portfolio and negotiate a payment plan. Credit Controller (BtoB) French Leader in debt management &amp; acquisition, iQera helps large companies and financial institutions at every stage of their client financial cycle by combining operational excellence, human and artificial intelligence. iQera aspires to create the difference through its convictions:Achieve the unprecedentedPlay as a teamLeave a positive impactMore than just resumes, iQera is looking foremost for personalities that will make a difference. The group wants to build a community of collabor’actors that are engaged, atypical and curious to learn, who want to find their path and thrive while giving meaning to their profession. The Group currently relies on a Tribe of more than 2300 collborar’actors on 13 sites in 6 countries.Your responsibilities within our TribeM",,,,,,Credit Controller BtoB,https://www.myjob.mu/Jobs/Credit-Controller-BtoB-207204.aspx
N/A,INNOVATIVE KNOWLEDGE CORPORATE SERVICES LTD,"Architectural/Interior Design Draughtsman Mauritius Negotiable Permanent Added 16/02/2026 Closing 18/03/2026 Priscille Lecluse Login to apply We are looking for a self-motivated, well organized and good team player to join our team as Architectural/Interior Design Draughtsman. We value precision, creativity, and collaboration in delivering high-quality architectural solutions ResponsibilitiesCreating technical drawings from architects’ and ID’s sketches and specifications.Using Autodesk AutoCAD software to produce detailed constructions drawings, schedules and layout plans.High attention to detail and ability to produce precise, well-structured drawingsCoordinate with architects and interior designers to refine designs and resolve technical issues. Requirements and SkillsAt least 3 years proven professional experience in an architectural/ID firm and ability to read and interpret architectural and ID drawings as well as MEP drawings.High professional integrityExcellent drawing skills an",,,,,,Architectural/Interior Design Draughtsman,https://www.myjob.mu/Jobs/Architectural-Interior-Design-Draughtsman-206730.aspx
N/A,Rank Interactive Services (Mauritius) Limited,"Accounts Officer Mauritius Negotiable Permanent Added 25/02/2026 Closing 24/03/2026 Apply Now We are looking for an Accounts Officer to join the Finance Ops team. Company DescriptionThe Rank Group is a Venues and Digital gaming businesses. If you’re not sure who we are, you may be more familiar with us through our venue brands; Mecca Bingo and Grosvenor Casino.We employ circa 8,000 people globally, with our UK office functions being located in Maidenhead (Head Office), Sheffield (Customer Solutions Hub), London (Digital) and a further office in Gibraltar, which is home to our existing Rank Digital function.We are evolving as a business and are adding some exciting new brands and concepts to our venues and digital offering. By joining an office-based or operational function with us, you’ll instantly be part of a high-performing and inclusive culture, which works closely to support our Customer-facing teams. Job Description Job Purpose:We are looking for an Accounts Officer to join the F",,,,,,Accounts Officer,https://www.myjob.mu/Jobs/Accounts-Officer-207174.aspx
N/A,Velogic,"Delivery Clerk Port Louis Not disclosed Permanent Added 25/02/2026 Closing 13/03/2026 HR Officer Login to apply As per job description. Duties &amp; Responsibilities:Prepare payment voucher and submit to Cashier.Ensure that cheque is obtained.Prepare delivery note with precise information.Liaise and seek appointment with Customs Officers and other government authorities for verification of goods.Assist Surveyor and insurance representative for the verification of goods.Check state of goods for consignment to be delivered without verification by Customs Officers.Effect payment to warehouse to obtain gate pass.Submit gate pass and delivery note to subcontractor.Keep customers and other departments informed of status at all times.Perform other cognate duties as required. Qualification &amp; Competencies: A Higher School Certificate or any other qualifications acceptable to Management.Computer literate (Excel, Word and PowerPoint).Strong personality with good communication skills.Should be",,,,,Not specified,Delivery Clerk,https://www.myjob.mu/Jobs/Delivery-Clerk-207175.aspx
N/A,Alentaris Recruitment Ltd,"Responsable Import-Export International (2605-TR) Riviere du Rempart Not disclosed Permanent Added 25/02/2026 Closing 27/03/2026 Human resources Login to apply Notre client un acteur majeur dans le domaine de l'import et export spécialisée dans la mise en relation entre vendeurs, producteurs et marchés de grande distribution, principalement à l'île Maurice et dans la zone Ocean Indien / Afrique. L'entreprise recherche un(e) professionnel(le) expérimenté(e) pour le poste de Responsable Import-Export International et assurera une transition progressive des responsabilités et reprendra la direction opérationnelle et stratégique.Mission:Stratégie &amp; Développement Commercial:Analyser les besoins du marché mauricien et africain pour identifier les opportunités produits.Développer et entretenir un portefeuille de fournisseurs Ocean Indien et Afrique.Négocier les conditions commerciales, logistiques et contractuelles.Définir et mettre en œuvre la stratégie de croissance dans la zone Afrique",,,,,Not specified,Responsable Import-Export International (2605-TR),https://www.myjob.mu/Jobs/Responsable-Import-Export-International-2605-207176.aspx
N/A,TAYLOR SMITH GROUP,"Talent Acquisition Coordinator (Oceangoers ltd) Mauritius Negotiable Permanent Added 25/02/2026 Closing 27/03/2026 Eugenie Heeraman Login to apply Oceangoers ltd is a talent acquisition coordinator. Responsibilities:Support recruitment and talent acquisition activities.Coordinate candidate communication and scheduling.Assist in administrative and operational processes.Maintain accurate documentation and records.Support recruitment events and front office activities.RequirementsDiploma or Degree in HR, Business Administration, Hospitality or related field, or equivalent professional experience.Previous experience in administration, recruitment or customer service preferred.Strong communication skills in English and French (spoken and written).Excellent organisational and multitasking abilities.Comfortable working in a fast-paced environment.Good knowledge of Microsoft Office and digital platforms.Key CompetenciesProfessional attitude.Strong interpersonal skills.Attention to detail.Abili",,,,,,Talent Acquisition Coordinator (Oceangoers ltd),https://www.myjob.mu/Jobs/Talent-Acquisition-Coordinator-Oceangoers-ltd-207177.aspx
N/A,Mont Choisy Group,"Marketing Coordinator - Mall Riviere du Rempart Not disclosed Permanent Added 25/02/2026 Closing 27/03/2026 Pooja Beehuspoteea-Tirbhowan Login to apply We are seeking a dynamic and creative Marketing Coordinator – Mall to lead and execute marketing initiatives that enhance the Mall’s brand visibility, positioning, and overall image. This role plays a key part in driving footfall, improving tenant satisfaction, and supporting revenue growth. Responsibilities1. Marketing &amp; Brand Management Assist in developing and implementing marketing plans and strategies to increase mall visibility and brand awareness.Propose innovative marketing ideas and research market trends.Plan and coordinate marketing campaigns and promotions.Evaluate the effectiveness of campaigns and provide post-campaign performance reports.Monitor competitor activities locally and internationally.Coordinate production and follow-up of marketing collaterals (posters, window wrapping, signage, kiosks, promotional tools).M",,,,,Not specified,Marketing Coordinator - Mall,https://www.myjob.mu/Jobs/Marketing-Coordinator-Mall-207178.aspx
N/A,UBP Ltd,"Salesperson Pamplemousses 21,000 - 30,000 Permanent Added 25/02/2026 Closing 10/03/2026 HR Manager Login to apply Compagnie de Gros Cailloux Limitée is inviting a passionate and nature-loving individual to join our Plant Section at Espace Maison – Forbach. If you love working with plants and enjoy helping customers, this is your opportunity to grow, learn, and flourish with us. Key Responsibilities:To promote indoor/outdoor plants and achieve monthly sales objectives.To ensure quality of plants are maintained.To organise visual standards at all times.To follow up stock replenishment of plants.To provide prompt and efficient customer service to our customers.Candidate profile:Minimum qualifications: SC or equivalent.At least 1 year of experience in a customer service environment.Good verbal communication both in French and English.Proven customer service skills.Outgoing personality.Candidates are requested to send their application to the mentioned email quoting reference HR/SR/GCX.Mana",,,,,Not specified,Salesperson,https://www.myjob.mu/Jobs/Salesperson-207179.aspx
N/A,Alentaris Recruitment Ltd,"Human Resource Assistant (2603-HRA) Plaine Wilhems 21,000 - 30,000 Permanent Added 25/02/2026 Closing 27/03/2026 Human resources Login to apply Our client in the FMCG sector is seeking to recruit a dynamic Human Resource Assistant. Responsibilities:Attend employee grievances and advises on necessary actions or direct problems towards relevant party.Attend grievances with regards to housekeeping and safety (site visit and ensure that appropriate measures are taken).Perform regular shop floor visits.Deal with disciplinary issues when required.Take notes for disciplinary committees and prepare minutes.Provide first aid to employees with minor injury and refers to hospital if necessary.Ensure that communication is properly done and notice boards are updated.Select applications, short list candidates and call for interviews.Organise and conduct interviews for casual workers with manager and supervisor.Prepare all necessary administrative documents for the new recruits including contract of ",,,,,Not specified,Human Resource Assistant (2603-HRA),https://www.myjob.mu/Jobs/Human-Resource-Assistant-2603-HRA-207180.aspx
N/A,Alentaris Recruitment Ltd,"Human Capital Coordinator (2345-HCC) Plaine Wilhems Negotiable Permanent Added 25/02/2026 Closing 27/03/2026 Human resources Login to apply Our client is seeking to recruit an experienced Human Capital Coordinator to join the Human Capital Department. The incumbent will report to the Human Capital Operations Manager and will provide operational support as well as assistance in various Human Capital projects or assignments. Responsibilities:Human Capital Operations:Ensure that the HR systems are always up to date and well maintained.Assist in compilation and consolidation of HR data and metrics for monthly reporting and provide recommendation.Support HC coordinators as and when required in daily operations for the smooth running of HR functions and coordination.Provide day-to-day guidance to line management (e.g. coaching, counselling, career development, disciplinary actions).Talent Acquisition:Assist with the talent acquisition process and ensure that manpower planning in outlets is a",,,,,,Human Capital Coordinator (2345-HCC),https://www.myjob.mu/Jobs/Human-Capital-Coordinator-2345-HCC-207181.aspx
N/A,Alentaris Recruitment Ltd,"HR Operations Lead (2537-HROL) Plaine Wilhems Negotiable Permanent Added 25/02/2026 Closing 27/03/2026 Human resources Login to apply Our client is seeking to recruit a dynamic HR Operations Lead. As the HR Operations Lead, you will support the HR and Talent Manager in executing HR strategies and initiatives aligned with the overall business strategy. This role is ideal for someone with strong interpersonal skills, HR experience, and a drive to make a real impact.Responsibiities:Assist in the development and implementation of HR policies and procedures.Support recruitment and onboarding, confirmation and promotion, retirement procedures.Manage HR documentation and ensure compliance.Supervise the payroll process.Address employee queries regarding HR policies and practices.Handle employee grievances and advises on necessary actions.Coordinate employee engagement and welfare programs.Provide support in disciplinary and grievance matters.Profile: Bachelor's degree in Human Resources, Busin",,,,,,HR Operations Lead (2537-HROL),https://www.myjob.mu/Jobs/HR-Operations-Lead-2537-HROL-207182.aspx
N/A,Mauritius Union Group,"Trainee Port Louis Not disclosed Trainee Added 25/02/2026 Closing 27/03/2026 HR Department Login to apply The Trainee will assist with the digitization and proper archiving of physical files. The trainee will be responsible for scanning documents, ensuring their quality and completeness, and collaborating with the relevant team members to ensure files are accurately archived and stored. The Trainee will assist with the digitization and proper archiving of physical files. The trainee will be responsible for scanning documents, ensuring their quality and completeness, and collaborating with the relevant team members to ensure files are accurately archived and stored.Main ResponsibilitiesScan physical loan files and related documents into the digital filing system.Ensure scanned documents are clear, legible, and meet quality standards.Liaise with team leader and other team members to ensure proper and timely archiving of digital files.Organize scanned files and maintain accurate records t",,N/A,,,Not specified,Trainee,https://www.myjob.mu/Jobs/Trainee-207184.aspx
N/A,SSD Prestation Ltd,"Conseiller(ère) Clients Auto / Moto – FMA Assurances Plaine Wilhems 21,000 - 30,000 Permanent Added 24/02/2026 Closing 26/03/2026 Ashvin Ramdhony Login to apply Qui sommes-nous ? FMA Assurances est un courtier spécialisé dans l’assurance Auto, Moto et risques spécifiques. Depuis plus de 30 ans, nous accompagnons nos clients avec des solutions personnalisées et un service de qualité. Vos missionsAu sein de notre centre de relation clients, vous êtes l’interlocuteur(trice) privilégié(e) de nos assurés :Accueillir et conseiller les clients par téléphone, e-mail ou chatIdentifier les besoins et proposer des solutions d’assurance adaptées (Auto / Moto)Réaliser des devis personnalisés et conclure les ventesAssurer la souscription et la gestion des contratsFidéliser le portefeuille clientsGarantir la satisfaction client dans le respect des procédures et de la réglementationVotre profilFormation commerciale ou assurance (Bac à Bac+2 apprécié)Une première expérience en relation client ou assura",,,,,Not specified,Conseiller(ère) Clients Auto / Moto – FMA Assurances,https://www.myjob.mu/Jobs/Conseiller-ere-Clients-Auto-Moto-207065.aspx
N/A,Alentaris Recruitment Ltd,"Confidential Secretary (2609-CS) Plaine Wilhems 21,000 - 30,000 Permanent Added 24/02/2026 Closing 26/03/2026 Human resources Login to apply Our client in the manufacturing sector is seeking to recruit a dynamic Confidential Secretary. Responsibilities:Manage the Managing Director's appointments, diary, and schedule and meetings.Arrange meetings with clients, suppliers, banks, and board members; prepare agendas and briefing notes.Handle confidential company documents, contracts, and financial information securely.Screen calls, emails, and visitors, and take messages accurately.Prepare letters, reports, and presentations, if required, related to company operations.Coordinate travel arrangements for the Managing Director, including transport, hotel, and factory visits.Take minutes in meetings and follow up on action points.Liaise with internal departments (Production, Accounts, Customer Service, HR) to gather information for the Managing Director.Monitor deadlines for factory reports and",,,,,Not specified,Confidential Secretary (2609-CS),https://www.myjob.mu/Jobs/Confidential-Secretary-2609-CS-207101.aspx
N/A,Globalink (International) Mauritius – mineral beauty,"Beauty Sales Advisor Plaine Wilhems Not disclosed Permanent Added 28/01/2026 Closing 27/02/2026 Vaneshwaree Lutchmanen Dusoye Login to apply When it comes to your hair and looks, we believe it should be given the utmost attention. Golden curl, Trésor Rare, Individuel Geneve and Opatra Mauritius are looking for passionate, dynamic and result-oriented Indoor Sales Representatives. Globalink (International) Mauritius is HIRINGHAIR AND COSMETICS SALES REPRESENTATIVES (Beauty Sales Advisor) for immediate employmentThe Ideal Candidate will have the following attributes\ experiences:A Good Attitude with Go-Better Spirit.A Quick Learner and always results-orientedExcellence sales and customer service skillsShould be computer literateExcellent oral communication in both french and English A strong skill in connecting with people face-to-faceProven experience in active sales.Available to work on a 45 hour/ week shift system from monday to sunday (excluding days off)We thank all applicants; howev",,,,,Not specified,Beauty Sales Advisor,https://www.myjob.mu/Jobs/Beauty-Sales-Advisor-205601.aspx
N/A,SD Worx (Mauritius) Limited,"QA Fonctionnel Plaine Wilhems Not disclosed Permanent Added 25/02/2026 Closing 26/04/2026 Apply Now Chez SD Worx, nous recherchons des personnes énergiques pour rejoindre notre équipe. Avec nous, vous avez la possibilité de mettre en valeur vos talents et de vous développer! Prêt, partez, postulez! SD Worx est un fournisseur européen de premier plan de services de paie et de ressources humaines avec une portée mondiale. Nous avons des bureaux en Europe et un bureau à l'île Maurice. Notre objectif? Nous donnons vie à des solutions humaines, ainsi, les entreprises de toute taille peuvent transformer les ressources humaines en une source de valeur pour l'entreprise et les personnes qui la composent.Nos solutions pour les personnes couvrent l'ensemble du parcours des employés, de l'obtention d'un salaire à l'attraction, la récompense et le développement des talents. Êtes-vous prêt à nous rejoindre?À propos du posteLe QA Fonctionnel (Quality Assurance Fonctionnel) intervient au sein d’une é",,,,,Not specified,QA Fonctionnel,https://www.myjob.mu/Jobs/QA-Fonctionnel-207140.aspx
N/A,undisclosed,"Assistant Management Accountant Port Louis Negotiable Permanent Added 25/02/2026 Closing 27/03/2026 Login to apply Assistant Management Accountant This position is responsible for ensuring that a high level of service is provided to the management team of Group Trust in the role’s areas of responsibility. Your responsibilities will include:Collaborating with Group Trust Relationship Managers on fee card updates, invoice approvals,Collaborating with Group Trust Relationship Managers’ debtors’ collections.Maintain accounting recordsProcessing expensesConducting bank reconciliationsLiaising with auditors to provide sample requestsMaintaining a sound technical knowledge of our various computer systems, including Microsoft Excel, Navision, SAP, and WorksiteYour qualifications and skills include:Strong knowledge of computerised SystemsGood communication, organisational and presentation skillsGood knowledge of double-entry bookkeepingProficient at using Microsoft Excel and other spreadsheet p",,,,,,Assistant Management Accountant,https://www.myjob.mu/Jobs/Assistant-Management-Accountant-207141.aspx
N/A,Senator Group of Companies,"People and Culture Manager Moka Negotiable Permanent Added 25/02/2026 Closing 27/03/2026 Login to apply • Act as the local HR lead for the Mauritius operation, by providing advisory support to the senior management. Responsible for local HR operations including, but not limited to, payroll supervision, employment contracts, internal policies implementation, benefits administration, and benchmarking practices.Responsible for the end-to-end recruitment processes ranging from role scoping, sourcing, interviewing, and onboarding.Manage all employee relations by ensuring strict compliance with the Workers’ Rights Act, and all applicable Mauritian employment legislation, whilst upholding HR best practice.Drive local performance and development cycles, supporting a strong coaching and growth mindset.Attending internal and external events and building the employer brand within the Mauritian market. Requirements:Minimum of 5 years’ experience in corporate HR (Business Partner, Manager or simila",,,,,,People and Culture Manager,https://www.myjob.mu/Jobs/People-and-Culture-Manager-207137.aspx
